u g r i z y
0.25 0.25 0.25 0.3823648656662323 1.5728222435903882 4.38584723390954
0.25 0.25 0.25 0.38405738875770856 1.5776203840552612 4.397962341067282
0.25 0.25 0.25 0.38574991184918495 1.5824185245201343 4.410077448225024
0.25 0.25 0.25 0.3874424349406613 1.587216664985007 4.422192555382765
0.25 0.25 0.25 0.3891349580321377 1.5920148054498802 4.434307662540507
0.25 0.25 0.25 0.3908274811236141 1.5968129459147533 4.446422769698249
0.25 0.25 0.25 0.39252000421509037 1.6016110863796262 4.45853787685599
0.25 0.25 0.25 0.39421252730656686 1.6064092268444992 4.470652984013732
0.25 0.25 0.25 0.39590505039804313 1.611207367309372 4.482768091171474
0.25 0.25 0.25 0.3975975734895195 1.6160055077742452 4.494883198329216
0.25 0.25 0.25 0.39929009658099596 1.6208036482391184 4.506998305486958
0.25 0.25 0.25 0.4009826196724723 1.625601788703991 4.5191134126447
0.25 0.25 0.25 0.40267514276394867 1.6303999291688642 4.531228519802442
0.25 0.25 0.25 0.40436766585542494 1.635198069633737 4.543343626960183
0.25 0.25 0.25 0.4060601889469014 1.63999621009861 4.555458734117925
0.25 0.25 0.25 0.4077527120383778 1.6447943505634832 4.567573841275667
0.25 0.25 0.25 0.4094452351298541 1.6495924910283561 4.579688948433408
0.25 0.25 0.25 0.41113775822133053 1.654390631493229 4.59180405559115
0.25 0.25 0.25 0.41283028131280686 1.659188771958102 4.603919162748892
0.25 0.25 0.25 0.41452280440428324 1.6639869124229751 4.616034269906634
0.25 0.25 0.25 0.4162153274957595 1.6687850528878478 4.628149377064375
0.25 0.25 0.25 0.41790785058723595 1.673583193352721 4.640264484222118
0.25 0.25 0.25 0.4196003736787124 1.6783813338175941 4.65237959137986
0.25 0.25 0.25 0.42129289677018866 1.683179474282467 4.664494698537601
0.25 0.25 0.25 0.4229854198616651 1.6879776147473402 4.676609805695343
0.25 0.25 0.25 0.4246779429531414 1.692775755212213 4.688724912853084
0.25 0.25 0.25 0.4263704660446178 1.697573895677086 4.700840020010826
0.25 0.25 0.25 0.4280629891360942 1.7023720361419592 4.712955127168568
0.25 0.25 0.25 0.4297555122275705 1.707170176606832 4.72507023432631
